epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
35,345.323,0.91208,1.78993,1.12814,0.00278,1,0.40085,0.21156,0.85172,3.59773,0.99476,0.000222224,0.000222224,0.000222224
36,354.926,0.8426,1.30515,0.97643,0.00278,1,0.40085,0.21156,0.85172,3.59773,0.99476,0.0002149,0.0002149,0.0002149
37,364.292,0.926,1.20858,0.98225,0.00278,1,0.40285,0.21317,0.83747,3.65771,0.99071,0.000206784,0.000206784,0.000206784
38,373.683,0.92955,1.16206,0.99428,0.00278,1,0.40285,0.21317,0.83747,3.65771,0.99071,0.000197876,0.000197876,0.000197876
39,383.428,0.90066,1.19356,1.03686,0.00278,1,0.33576,0.16849,0.87995,3.61649,0.97843,0.000188176,0.000188176,0.000188176
40,393.181,0.84342,1.30603,1.043,0.00278,1,0.33576,0.16849,0.87995,3.61649,0.97843,0.000177684,0.000177684,0.000177684
41,402.867,0.73898,1.40488,0.91176,0.00278,1,0.21306,0.1095,0.87529,3.57655,0.95921,0.0001664,0.0001664,0.0001664
42,412.162,0.88235,1.47779,0.996,0.00278,1,0.21306,0.1095,0.87529,3.57655,0.95921,0.000154324,0.000154324,0.000154324
43,421.31,0.86645,1.47861,0.92701,0.00278,1,0.20538,0.10457,0.84949,3.51631,0.95235,0.000141456,0.000141456,0.000141456
44,431.201,0.85937,1.5074,1.02297,0.00278,1,0.20538,0.10457,0.84949,3.51631,0.95235,0.000127796,0.000127796,0.000127796
45,441.806,0.83512,1.4243,0.95693,0.00278,1,0.21853,0.1551,0.86478,3.46156,0.91528,0.000113344,0.000113344,0.000113344
46,451.999,0.88706,1.55569,1.01402,0.00278,1,0.21853,0.1551,0.86478,3.46156,0.91528,9.81e-05,9.81e-05,9.81e-05
47,462.097,0.79392,1.5133,0.90674,0.00278,1,0.40731,0.30585,0.86375,3.41182,0.90914,8.2064e-05,8.2064e-05,8.2064e-05
48,472.189,0.77531,1.43158,0.94493,0.00278,1,0.40731,0.30585,0.86375,3.41182,0.90914,6.5236e-05,6.5236e-05,6.5236e-05
49,481.836,0.8855,1.50927,1.0776,0.00278,1,0.41655,0.34377,0.85497,3.37608,0.89445,4.7616e-05,4.7616e-05,4.7616e-05
50,490.942,0.85242,1.48656,0.99353,0.00278,1,0.41655,0.34377,0.85497,3.37608,0.89445,2.9204e-05,2.9204e-05,2.9204e-05
