epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,3433.52,0.86925,0.93789,1.09069,0.02956,0.2,0.01673,0.01198,1.42574,14.7424,1.5109,0.000653581,0.000653581,0.000653581
43,3490.91,0.95418,0.96998,1.16141,0.07492,0.6,0.06467,0.04742,1.28319,10.7678,1.56448,0.000665364,0.000665364,0.000665364
44,3554.23,0.77239,0.78449,0.97713,0.07492,0.6,0.06467,0.04742,1.28319,10.7678,1.56448,0.000676949,0.000676949,0.000676949
45,3609.78,0.79557,0.64755,1.01727,0.06194,0.2,0.03493,0.0239,1.81978,10.3633,1.83661,0.000688336,0.000688336,0.000688336
46,3663.19,0.73437,0.67219,0.97135,0.06194,0.2,0.03493,0.0239,1.81978,10.3633,1.83661,0.000699525,0.000699525,0.000699525
47,3717.64,0.79269,1.04949,1.03171,0.05683,0.2,0.03115,0.02293,2.22845,11.4406,2.18256,0.000710516,0.000710516,0.000710516
48,3776.27,0.77998,0.59936,1.00529,0.05683,0.2,0.03115,0.02293,2.22845,11.4406,2.18256,0.000721309,0.000721309,0.000721309
49,3833.77,0.81865,0.72615,1.07073,0.04607,0.6,0.04227,0.02908,1.92814,12.9322,2.17001,0.000731904,0.000731904,0.000731904
50,3885.27,0.75304,0.66521,1.05315,0.04607,0.6,0.04227,0.02908,1.92814,12.9322,2.17001,0.000742301,0.000742301,0.000742301
51,3938.59,0.70775,0.5706,0.98733,0.09139,0.6,0.06044,0.0433,1.52401,12.4845,1.61563,0.0007525,0.0007525,0.0007525
52,3989.99,0.82421,0.74409,1.09485,0.09139,0.6,0.06044,0.0433,1.52401,12.4845,1.61563,0.000762501,0.000762501,0.000762501
53,4044.77,0.78483,0.70267,0.99118,0.09139,0.6,0.06044,0.0433,1.52401,12.4845,1.61563,0.000772304,0.000772304,0.000772304
54,4104.13,0.86852,0.76097,1.01727,0.43516,0.2,0.19367,0.15101,1.09833,2.82341,1.24901,0.000781909,0.000781909,0.000781909
55,4157.6,0.8019,0.79001,1.06638,0.43516,0.2,0.19367,0.15101,1.09833,2.82341,1.24901,0.000791316,0.000791316,0.000791316
56,4216.19,0.75821,0.67291,1.01596,0.43516,0.2,0.19367,0.15101,1.09833,2.82341,1.24901,0.000800525,0.000800525,0.000800525
57,4278.76,0.88844,0.71046,1.0717,0.76995,0.8,0.81056,0.57942,1.10846,1.90098,1.17331,0.000809536,0.000809536,0.000809536
58,4332.91,0.74699,0.59386,0.99926,0.76995,0.8,0.81056,0.57942,1.10846,1.90098,1.17331,0.000818349,0.000818349,0.000818349
59,4385.57,0.56859,0.51851,0.93034,0.76995,0.8,0.81056,0.57942,1.10846,1.90098,1.17331,0.000826964,0.000826964,0.000826964
60,4440.56,0.71647,0.65577,1.0446,0.94955,0.8,0.87192,0.62676,1.16133,1.4468,1.24464,0.000835381,0.000835381,0.000835381
61,4494.24,0.78288,0.84015,1.00053,0.94955,0.8,0.87192,0.62676,1.16133,1.4468,1.24464,0.0008436,0.0008436,0.0008436
62,4546.36,0.8701,0.74901,1.03212,0.94955,0.8,0.87192,0.62676,1.16133,1.4468,1.24464,0.000851621,0.000851621,0.000851621
63,4610.57,0.74266,0.80506,1.03276,0.96564,0.6,0.845,0.57956,1.28586,1.30396,1.29403,0.000859444,0.000859444,0.000859444
64,4670.38,0.70774,0.57644,0.99845,0.96564,0.6,0.845,0.57956,1.28586,1.30396,1.29403,0.000867069,0.000867069,0.000867069
65,4722.08,0.75079,0.63074,1.01962,0.96564,0.6,0.845,0.57956,1.28586,1.30396,1.29403,0.000874496,0.000874496,0.000874496
66,4774.95,0.69193,0.52909,0.97797,0.3912,0.38827,0.32113,0.18101,1.2869,2.46863,1.26566,0.000881725,0.000881725,0.000881725
67,4826.7,0.71216,0.64192,0.99265,0.3912,0.38827,0.32113,0.18101,1.2869,2.46863,1.26566,0.000888756,0.000888756,0.000888756
68,4880.77,0.65885,0.79999,0.93475,0.3912,0.38827,0.32113,0.18101,1.2869,2.46863,1.26566,0.000895589,0.000895589,0.000895589
